Date,Open,High,Low,Close,Volume
2010-01-04,6.389118243518041,6.421149084710953,6.357686124578495,6.40648078918457,493729600
2010-01-05,6.424143661736987,6.453779616527876,6.383730305754763,6.417557716369629,601904800
2010-01-06,6.4175561476970735,6.443001439806501,6.308890473783978,6.315476417541504,552160000
2010-01-07,6.338826386564105,6.346310414274597,6.258000486015009,6.303801536560059,477131200
2010-01-08,6.2954202376030315,6.3463108300059865,6.258301056451617,6.345711708068848,447610800
2010-01-11,6.370260124119465,6.376247347810951,6.240041206278885,6.289734363555908,462229600
2010-01-12,6.262191263226444,6.279554607532376,6.179270632673337,6.218186378479004,594459600
2010-01-13,6.222679054865948,6.314280779547128,6.109822286405909,6.305898666381836,605892000
2010-01-14,6.289731398366402,6.300208635206029,6.25710144431181,6.269374847412109,432894000
2010-01-15,6.314280703478351,6.334337902596525,6.162807543089351,6.1646037101745605,594067600
2010-01-19,6.236447518431264,6.441804450302262,6.203818355438351,6.437314033508301,730007600
2010-01-20,6.433421294848783,6.452580003712607,6.271470952240817,6.338227272033691,612152800
2010-01-21,6.34870573560425,6.3855259554048365,6.2029196636405635,6.228663921356201,608154400
2010-01-22,6.19004775977148,6.211600961075492,5.9020691565602705,5.9197306632995605,881767600
2010-01-25,6.062222823167735,6.127780904325776,5.992772648108015,6.078986644744873,1065699600
2010-01-26,6.1652006176540235,6.397499629769786,6.064318327485559,6.164901256561279,1867110000
2010-01-27,6.192141939900389,6.303800822933116,5.973014429516342,6.222975730895996,1722568400
2010-01-28,6.134666288939096,6.151729069926764,5.9481683461379635,5.965829849243164,1173502400
2010-01-29,6.019415469922071,6.052943113544992,5.695214594959765,5.7493977546691895,1245952400
2010-02-01,5.758678049402945,5.867343739361888,5.726647208487251,5.8293256759643555,749876400
2010-02-02,5.864650663140787,5.876924071167743,5.788913887471515,5.863153457641602,698342400
2010-02-03,5.842496747430603,5.993072184619333,5.820045064412281,5.964034557342529,615328000
2010-02-04,5.889196751398896,5.938291180133693,5.734730396392531,5.7490997314453125,757652000
2010-02-05,5.766461370223868,5.8673436697596895,5.713175890129751,5.851178169250488,850306800
2010-02-08,5.858064095323747,5.923622584466886,5.8074728634091874,5.811065196990967,478270800
2010-02-09,5.879916522402139,5.912246724527202,5.829924413590137,5.8730316162109375,632886800
2010-02-10,5.864050086196572,5.885305124669221,5.815255824033045,5.841000080108643,370361600
2010-02-11,5.833815807494473,5.979601470348313,5.809268596200606,5.94727087020874,550345600
2010-02-12,5.930506997428003,6.036179469761823,5.852375746929862,5.99846076965332,655468800
2010-02-16,6.045159835233856,6.097546829310123,6.0325870685662455,6.088865756988525,543737600
2010-02-17,6.112514874778056,6.116107208249717,6.012829619344833,6.063421249389648,436396800
2010-02-18,6.035880127145417,6.103534947112001,6.014626285037076,6.074796676635742,422825200
2010-02-19,6.042765210593994,6.082878398525714,6.020313128331962,6.037076950073242,415469600
2010-02-22,6.057135125137702,6.0619245037820315,5.962838362761277,5.999658584594727,390563600
2010-02-23,5.987084716604009,6.026898942259812,5.858662006287867,5.899074554443359,575094800
2010-02-24,5.934100479710729,6.0301934152295935,5.922425394280649,6.0068440437316895,460566400
2010-02-25,5.908655360409758,6.072701275851085,5.893987063557348,6.046957015991211,665126000
2010-02-26,6.058330482111786,6.141850219986353,6.046955161439294,6.125385761260986,507460800
2010-03-01,6.159213212661614,6.271471221016472,6.1502327798273555,6.256204605102539,550093600
2010-03-02,6.284345878535467,6.311287987249392,6.218787373498767,6.252016067504883,566546400
2010-03-03,6.254707933503636,6.282547717313579,6.224772621928054,6.266382217407227,372052800
2010-03-04,6.264886913566775,6.313980542284162,6.245428039594726,6.307693958282471,366041200
2010-03-05,6.43432080926729,6.576813504465278,6.425040614578126,6.554361820220947,899620400
2010-03-08,6.586094508596909,6.588488998307483,6.533408141022627,6.558254718780518,429889600
2010-03-09,6.535201670261281,6.735469418635538,6.522628905710673,6.676197528839111,920259200
2010-03-10,6.700446194673718,6.749839575444052,6.681586845698715,6.730680465698242,596218000
2010-03-11,6.702841793436801,6.750438213348389,6.68517948726888,6.750438213348389,405700400
2010-03-12,6.806419153931622,6.8171961568543304,6.757924239504095,6.783369541168213,416323600
2010-03-15,6.746845991547838,6.750437525277495,6.593276949325201,6.700745582580566,493502800
2010-03-16,6.710923235212181,6.734871322326096,6.660931133736689,6.719005584716797,446908000
2010-03-17,6.732478706330049,6.7788784904971084,6.683684432388114,6.709129333496094,450956800
2010-03-18,6.708527493074816,6.735469990142871,6.663924291097309,6.724992752075195,342109600
2010-03-19,6.729184777308604,6.742655628103686,6.622614216391505,6.653148651123047,559445600
2010-03-22,6.599864395375914,6.765407509207064,6.5902848388646085,6.727987766265869,456419600
2010-03-23,6.75462828019156,6.848626059854198,6.708527473593234,6.836052894592285,602431200
2010-03-24,6.814501809019723,6.89113666993644,6.81060971412243,6.866290092468262,597780400
2010-03-25,6.912687856690876,6.91418506178727,6.772889028661852,6.784863471984863,542284400
2010-03-26,6.853716559062511,6.943522496870755,6.841742114276558,6.91209077835083,640875200
2010-03-29,6.974953165080299,7.000996376540202,6.933642140886076,6.956691741943359,540744400
2010-03-30,7.082722950999136,7.109066733733514,7.012374275695043,7.060271263122559,527310000
2010-03-31,7.049494898397641,7.083022549017462,7.018661098541685,7.034825801849365,430659600
2010-04-01,7.106970484232894,7.146484557821607,6.967471383970169,7.063863277435303,603145200
2010-04-05,7.0342264445390015,7.139898114899218,7.027939461768223,7.139299392700195,684507600
2010-04-06,7.130616536049192,7.191684586342982,7.0946940124595725,7.170730113983154,447017200
2010-04-07,7.171033009065968,7.241980411771242,7.1443902629427445,7.202465534210205,628502000
2010-04-08,7.197674582802554,7.230603508846099,7.125829507914419,7.183006286621094,572989200
2010-04-09,7.2273114516651855,7.241082065090136,7.198273818689348,7.2380876541137695,334182800
2010-04-12,7.250361399087831,7.27640542166022,7.238686712931183,7.253056049346924,333026400
2010-04-13,7.2401807758887635,7.268319914793515,7.217728297803523,7.2572431564331055,306210800
2010-04-14,7.342561627274827,7.358427366828353,7.30634013108433,7.354835033416748,404076400
2010-04-15,7.357529791708005,7.454820168539228,7.349447440215601,7.4515275955200195,376784800
2010-04-16,7.441048986224058,7.517983598021296,7.320709008739357,7.406024932861328,750545600
